feature,importance
logmel_d2_40_mean,0.0011136784
logmel_d2_27_mean,0.0011120645
logmel_d1_62_mean,0.001107989
logmel_d2_51_mean,0.0011076912
logmel_d2_43_mean,0.0010996833
logmel_d2_53_mean,0.0010911738
logmel_d1_14_mean,0.001086347
logmel_d2_05_std,0.0010843761
logmel_d1_35_mean,0.0010843594
logmel_d1_59_mean,0.0010818733
logmel_d1_50_mean,0.0010749811
logmel36_std,0.0010702986
logmel_d1_34_mean,0.0010645519
logmel_d1_03_mean,0.0010588896
spec_contrast01_std,0.0010586632
logmel_d1_45_mean,0.0010559103
logmel_d1_18_mean,0.0010491863
logmel_d2_29_mean,0.0010357331
logmel_d1_41_mean,0.0010348479
logmel_d2_60_std,0.0010320301
logmel_d2_56_std,0.0010259487
logmel_d2_28_mean,0.0010240217
logmel_d2_45_mean,0.0010220896
logmel_d2_48_mean,0.0010208075
logmel_d1_33_mean,0.0010099943
logmel_d1_44_mean,0.0010051877
logmel_d2_19_mean,0.0010032485
logmel_d1_39_mean,0.0009962722
logmel_d2_37_mean,0.0009930369
logmel_d2_55_mean,0.0009923105
logmel_d1_52_mean,0.0009883533
logmel_d2_31_mean,0.0009868039
logmel_d2_46_mean,0.0009824347
logmel_d1_12_mean,0.0009806838
logmel_d2_58_mean,0.0009767673
spec_flatness_std,0.0009738381
logmel_d2_44_mean,0.0009711678
logmel_d2_18_mean,0.00097100466
logmel_d2_07_mean,0.00097100163
logmel_d1_54_mean,0.00096827076
logmel45_mean,0.0009635967
logmel_d1_43_mean,0.0009557124
logmel_d1_53_mean,0.0009537897
logmel_d2_57_std,0.000952164
logmel_d2_10_mean,0.00093515613
logmel_d1_49_mean,0.0009198713
logmel_d1_28_mean,0.00091982965
logmel_d1_29_mean,0.0009165682
logmel_d1_06_mean,0.00091123744
logmel_d2_25_mean,0.00091005565
logmel_d1_00_mean,0.0009088348
logmel_d1_15_mean,0.00090846274
logmel_d2_30_mean,0.00090132345
logmel_d2_01_mean,0.00090126944
logmel_d1_17_mean,0.00089944596
logmel_d1_19_mean,0.00089617446
logmel_d1_60_mean,0.0008875551
logmel_d1_24_mean,0.00088348595
logmel_d2_33_mean,0.0008813276
logmel_d2_59_mean,0.00088118715
logmel_d2_36_mean,0.00087782275
logmel_d2_14_std,0.00087258505
logmel_d1_01_mean,0.00087232405
logmel_d2_09_mean,0.00087080704
logmel_d2_60_mean,0.0008705825
logmel_d2_05_mean,0.0008577061
logmel_d1_25_mean,0.00084993057
logmel_d1_47_mean,0.0008486307
logmel57_mean,0.0008465992
logmel_d2_14_mean,0.0008457626
logmel_d1_46_mean,0.0008446285
logmel_d2_38_mean,0.00084072317
logmel_d2_34_mean,0.0008318738
logmel_d1_57_mean,0.00083138025
logmel_d2_39_mean,0.00082959805
logmel_d1_27_mean,0.000826584
logmel_d2_04_mean,0.0008233874
logmel_d2_21_mean,0.0008217998
logmel_d1_07_mean,0.0008201687
logmel_d1_22_mean,0.00081744645
logmel_d1_21_mean,0.00081628544
logmel_d1_40_mean,0.0008094949
logmel_d2_13_mean,0.0008093169
logmel_d2_00_mean,0.0008081957
logmel_d2_03_mean,0.0008072228
logmel_d2_59_std,0.0008021572
logmel_d2_49_mean,0.0007908487
logmel_d1_61_mean,0.00078947877
logmel_d2_20_mean,0.0007875055
logmel_d1_48_mean,0.00078735326
logmel_d2_16_mean,0.00078596035
logmel_d2_54_mean,0.00078291533
logmel_d1_23_mean,0.00077628676
logmel_d2_56_mean,0.00076496147
logmel_d1_55_mean,0.0007639206
logmel_d1_20_mean,0.0007616113
logmel_d1_08_mean,0.000758306
logmel_d1_63_mean,0.0007575612
logmel_d2_42_mean,0.0007559692
logmel_d2_24_mean,0.0007510798
logmel_d2_15_mean,0.00074966735
logmel_d2_02_mean,0.00074511755
logmel_d2_50_mean,0.0007376164
logmel_d2_06_mean,0.0007363083
logmel_d2_22_mean,0.00072949147
logmel_d1_36_mean,0.00072351965
logmel_d2_23_mean,0.0007194505
logmel_d2_35_mean,0.0007193071
logmel_d2_08_mean,0.00071798934
logmel_d1_11_mean,0.0007168821
logmel_d2_17_mean,0.0007020837
logmel_d2_12_mean,0.0007000134
logmel_d2_61_mean,0.0006769544
logmel_d1_30_mean,0.0006719023
logmel_d1_10_mean,0.0006715328
logmel_d1_16_mean,0.00067063916
logmel_d1_09_mean,0.0006706063
logmel_d1_31_mean,0.000662087
logmel_d2_57_mean,0.00065461086
logmel_d1_05_mean,0.0006524451
logmel_d1_32_mean,0.0006451355
logmel_d1_02_mean,0.0006290753
logmel_d2_47_mean,0.0006253509
logmel_d1_56_mean,0.000610282
logmel_d1_38_mean,0.00060401123
logmel_d1_51_mean,0.00057912624
logmel_d1_26_mean,0.00053197617
logmel_d1_42_mean,0.0005313279
logmel_d1_58_mean,0.00040992425
